head_sex_label,N,Poverty_Rate,Extreme_Pov_Rate,Mean_Quintile,Mean_HH_Size,Mean_Head_Age,Mean_Dep_Ratio,Mean_Land_Ha,Pct_Ag_Livelihood
Female,990,22.32%,2.83%,3.0525,3.2111,58.1297,0.9084,0.3202,100.0%
Male,2734,24.43%,3.8%,2.9265,4.7963,46.4517,0.8821,0.4505,100.0%
